gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,costat,ggroup,gind,gsector,gsubind,naics,sic
034854,20191231,2019,INDL,C,D,STD,SWAV,SHOCKWAVE MEDICAL INC,USD,A,3510,351010,35,35101010,334510,3845
034873,20191231,2019,INDL,C,D,STD,LYFT,LYFT INC,USD,A,2030,203040,20,20304020,485310,4100
034882,20191231,2019,INDL,C,D,STD,SILK,SILK ROAD MEDICAL INC,USD,A,3510,351010,35,35101020,334510,3845
034883,20191231,2019,INDL,C,D,STD,DTIL,PRECISION BIOSCIENCES,USD,A,3520,352010,35,35201010,325414,2836
034919,20191231,2019,INDL,C,D,STD,TW,TRADEWEB MARKETS INC,USD,A,4020,402030,40,40203040,519,7370
034929,20191231,2019,INDL,C,D,STD,XFOR,X4 PHARMACEUTICALS INC,USD,A,3520,352010,35,35201010,325414,2836
034938,20191231,2019,INDL,C,D,STD,RMBI,RICHMOND MUTUAL BANCO INC,USD,A,4010,401010,40,40101015,522110,6020
034941,20191231,2019,INDL,C,D,STD,TH,TARGET HOSPITALITY CORP,USD,A,2530,253010,25,25301020,531110,6510
034953,20191231,2019,INDL,C,D,STD,PLMR,PALOMAR HOLDINGS INC,USD,A,4030,403010,40,40301040,524126,6331
034954,20200331,2019,INDL,C,D,STD,CHNG,CHANGE HEALTHCARE INC,USD,A,3510,351030,35,35103010,511210,7372
034955,20200131,2019,INDL,C,D,STD,PD,PAGERDUTY INC,USD,A,4510,451030,45,45103010,519130,7370
034956,20191231,2019,INDL,C,D,STD,DSSI,DIAMOND S SHIPPING INC,USD,A,1010,101020,10,10102040,483111,4412
035004,20191231,2019,INDL,C,D,STD,MNRL,BRIGHAM MINERALS INC,USD,A,1010,101020,10,10102020,211120,1311
035005,20200131,2019,INDL,C,D,STD,ZM,ZOOM VIDEO COMUNICATIONS INC,USD,A,4510,451030,45,45103010,519130,7370
035006,20191231,2019,INDL,C,D,STD,TPTX,TURNING POINT THERAPE INC,USD,A,3520,352010,35,35201010,325414,2836
035013,20191231,2019,INDL,C,D,STD,PINS,PINTEREST INC,USD,A,5020,502030,50,50203010,519130,7370
035035,20191231,2019,INDL,C,D,STD,KTB,KONTOOR BRANDS INC,USD,A,2520,252030,25,25203010,315,2300
035062,20191231,2019,INDL,C,D,STD,TMDX,TRANSMEDICS GROUP INC,USD,A,3510,351010,35,35101010,334510,3845
035065,20191231,2019,INDL,C,D,STD,AVTR,AVANTOR INC,USD,A,3520,352030,35,35203010,334516,3826
035077,20191231,2019,INDL,C,D,STD,UBER,UBER TECHNOLOGIES INC,USD,A,2030,203040,20,20304020,485310,4100
035078,20191231,2019,INDL,C,D,STD,RRBI,RED RIVER BANCSHARES INC,USD,A,4010,401010,40,40101015,522110,6020
035090,20191231,2019,INDL,C,D,STD,NXTC,NEXTCURE INC,USD,A,3520,352010,35,35201010,325414,2836
035091,20191231,2019,INDL,C,D,STD,APLT,APPLIED THERAPEUTICS INC,USD,A,3520,352010,35,35201010,325414,2836
