yr_mo,fyear,tic,conm,cik,ggroup,gind,gsector,gsubind,log_assets,sales_growth,return_std,log_turnover,Skewness,Sharpe_Ratio,Securities,Total_Cases,securities_binary,litigation_binary
201212,2012.0,AMD,ADVANCED MICRO DEVICES,2488.0,4530,453010,45,45301020,8.294049640102028,-0.17448233861144946,2.106381013,17.76286296520475,7.008466136,-0.30494240300000003,0.0,1.0,0,1
201312,2013.0,AMD,ADVANCED MICRO DEVICES,2488.0,4530,453010,45,45301020,8.374938143835367,-0.02268535595721136,0.572077112,17.963096063340785,17.58504192,0.8538386309999999,0.0,0.0,0,0
201412,2014.0,AMD,ADVANCED MICRO DEVICES,2488.0,4530,453010,45,45301020,8.23403420769204,0.03906397433478015,0.54584542,17.907116841186774,19.77666132,-0.40592874100000004,1.0,1.0,1,1
201512,2015.0,AMD,ADVANCED MICRO DEVICES,2488.0,4530,453010,45,45301020,8.042056410058754,-0.2751543770432256,0.401873218,17.355037842629734,17.48685826,0.290468517,0.0,3.0,0,1
201612,2016.0,AMD,ADVANCED MICRO DEVICES,2488.0,4530,453010,45,45301020,8.108021221376747,0.0704084189426209,2.7290499980000003,18.16450182175404,6.330041595,1.522341276,0.0,1.0,0,1
201712,2017.0,AMD,ADVANCED MICRO DEVICES,2488.0,4530,453010,45,45301020,8.17188200612782,0.2474250936329588,1.469636376,18.912924083540524,25.15333086,-0.005905461999999999,0.0,0.0,0,0
201812,2018.0,AMD,ADVANCED MICRO DEVICES,2488.0,4530,453010,45,45301020,8.424200324567073,0.21504972790392193,5.897199665,19.173331211985964,8.811809495,0.058251810999999994,1.0,6.0,1,1
201912,2019.0,AMD,ADVANCED MICRO DEVICES,2488.0,4530,453010,45,45301020,8.704170559746386,0.03953667953667954,6.1465837389999995,18.935086842162722,14.99613507,0.142963679,0.0,2.0,0,1
202012,2020.0,AMD,ADVANCED MICRO DEVICES,2488.0,4530,453010,45,45301020,9.100748695346088,0.45045312732134896,18.61678581,18.863718310151548,10.83242844,0.051097789000000005,1.0,3.0,1,1
201109,2011.0,APD,AIR PRODUCTS & CHEMICALS INC,2969.0,1510,151010,15,15101040,9.567364255028581,0.1169953467759805,5.580152514,15.01414041412971,47.70165319,-0.013434693000000001,0.0,1.0,0,1
201209,2012.0,APD,AIR PRODUCTS & CHEMICALS INC,2969.0,1510,151010,15,15101040,9.737539219940114,-0.046647490577266346,3.7699255810000003,14.821536686648273,67.38329299,-0.0028946109999999996,0.0,0.0,0,0
201309,2013.0,APD,AIR PRODUCTS & CHEMICALS INC,2969.0,1510,151010,15,15101040,9.789764389432989,0.05916747297564415,9.351854057,15.03686688945109,29.29018121,0.043872882,0.0,0.0,0,0
201409,2014.0,APD,AIR PRODUCTS & CHEMICALS INC,2969.0,1510,151010,15,15101040,9.785778889114061,0.025401752386939647,9.296125323,14.951942578870037,38.6335691,0.023870822000000003,0.0,0.0,0,0
201509,2015.0,APD,AIR PRODUCTS & CHEMICALS INC,2969.0,1510,151010,15,15101040,9.76641274657391,-0.052121850751987775,7.194617199,14.97023628875359,59.50246979,-0.004004842,0.0,0.0,0,0
201609,2016.0,APD,AIR PRODUCTS & CHEMICALS INC,2969.0,1510,151010,15,15101040,9.80119454946939,-0.03744353151623564,8.289348844,15.119756659969463,51.12464265,0.012803223,0.0,0.0,0,0
201709,2017.0,APD,AIR PRODUCTS & CHEMICALS INC,2969.0,1510,151010,15,15101040,9.823751464516647,-0.14035529797152568,4.466109053,15.072133495755152,95.36153113,0.057999395999999995,0.0,0.0,0,0
201809,2018.0,APD,AIR PRODUCTS & CHEMICALS INC,2969.0,1510,151010,15,15101040,9.86153471051546,0.09069812887781527,3.4918980889999998,14.740945355152816,139.7291602,0.02302803,0.0,0.0,0,0
201909,2019.0,APD,AIR PRODUCTS & CHEMICALS INC,2969.0,1510,151010,15,15101040,9.849179191082785,-0.0012653691966586515,27.56710273,14.869859520851678,21.07221806,0.016942488000000002,0.0,0.0,0,0
202009,2020.0,APD,AIR PRODUCTS & CHEMICALS INC,2969.0,1510,151010,15,15101040,10.133348491597863,-0.007018802767157426,30.38201154,14.887578645910208,24.09279259,0.013856505,0.0,0.0,0,0
201112,2011.0,ALK,ALASKA AIR GROUP INC,766421.0,2030,203020,20,20302010,8.555451903533328,0.12668632413955067,5.362249217,13.828398154982931,35.90657431,0.049896170999999996,0.0,1.0,0,1
201212,2012.0,ALK,ALASKA AIR GROUP INC,766421.0,2030,203020,20,20302010,8.61341204915678,0.07855852517485752,13.70497892,14.385186430277109,9.340765917,-0.031666921,0.0,0.0,0,0
201312,2013.0,ALK,ALASKA AIR GROUP INC,766421.0,2030,203020,20,20302010,8.67214355141406,0.06592226755421945,8.972307396,14.52889997506045,20.45962002,0.066780619,0.0,0.0,0,0
201412,2014.0,ALK,ALASKA AIR GROUP INC,766421.0,2030,203020,20,20302010,8.729235349659273,0.08138597904915391,21.11628795,14.82058073620514,10.09268298,-0.011116003000000001,0.0,0.0,0,0
