gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,at,revt,sale,cik,costat,ggroup,gind,gsector,gsubind,naics,sic
001602,20181231,2018,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,66416.0000,23747.0000,23747.0000,0000318154,A,3520,352010,35,35201010,325414,2836
001602,20191231,2019,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,59707.0000,23362.0000,23362.0000,0000318154,A,3520,352010,35,35201010,325414,2836
001602,20201231,2020,INDL,C,D,STD,AMGN,031162100,AMGEN INC,USD,12,62948.0000,25424.0000,25424.0000,0000318154,A,3520,352010,35,35201010,325414,2836
001632,20101031,2010,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,4328.8310,2761.5030,2761.5030,0000006281,A,4530,453010,45,45301020,334413,3674
001632,20111031,2011,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,5277.6350,2993.3200,2993.3200,0000006281,A,4530,453010,45,45301020,334413,3674
001632,20121031,2012,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,5620.3470,2701.1420,2701.1420,0000006281,A,4530,453010,45,45301020,334413,3674
001632,20131031,2013,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,6381.7500,2633.6890,2633.6890,0000006281,A,4530,453010,45,45301020,334413,3674
001632,20141031,2014,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,6859.6900,2864.7730,2864.7730,0000006281,A,4530,453010,45,45301020,334413,3674
001632,20151031,2015,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,7062.1780,3435.0920,3435.0920,0000006281,A,4530,453010,45,45301020,334413,3674
001632,20161031,2016,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,7970.2780,3421.4090,3421.4090,0000006281,A,4530,453010,45,45301020,334413,3674
001632,20171031,2017,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,21141.2940,5107.5030,5107.5030,0000006281,A,4530,453010,45,45301020,334413,3674
001632,20181031,2018,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,20449.7790,6200.9420,6200.9420,0000006281,A,4530,453010,45,45301020,334413,3674
001632,20191031,2019,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,21392.6410,5991.0650,5991.0650,0000006281,A,4530,453010,45,45301020,334413,3674
001632,20201031,2020,INDL,C,D,STD,ADI,032654105,ANALOG DEVICES,USD,10,21468.6030,5603.0560,5603.0560,0000006281,A,4530,453010,45,45301020,334413,3674
001690,20100930,2010,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,75183.0000,65225.0000,65225.0000,0000320193,A,4520,452020,45,45202030,334220,3663
001690,20110930,2011,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,116371.0000,108249.0000,108249.0000,0000320193,A,4520,452020,45,45202030,334220,3663
001690,20120930,2012,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,176064.0000,156508.0000,156508.0000,0000320193,A,4520,452020,45,45202030,334220,3663
001690,20130930,2013,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,207000.0000,170910.0000,170910.0000,0000320193,A,4520,452020,45,45202030,334220,3663
001690,20140930,2014,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,231839.0000,182795.0000,182795.0000,0000320193,A,4520,452020,45,45202030,334220,3663
001690,20150930,2015,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,290479.0000,233715.0000,233715.0000,0000320193,A,4520,452020,45,45202030,334220,3663
001690,20160930,2016,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,321686.0000,215091.0000,215091.0000,0000320193,A,4520,452020,45,45202030,334220,3663
001690,20170930,2017,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,375319.0000,229234.0000,229234.0000,0000320193,A,4520,452020,45,45202030,334220,3663
001690,20180930,2018,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,365725.0000,265359.0000,265359.0000,0000320193,A,4520,452020,45,45202030,334220,3663
001690,20190930,2019,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,338516.0000,260174.0000,260174.0000,0000320193,A,4520,452020,45,45202030,334220,3663
001690,20200930,2020,INDL,C,D,STD,AAPL,037833100,APPLE INC,USD,9,323888.0000,274515.0000,274515.0000,0000320193,A,4520,452020,45,45202030,334220,3663
001704,20101031,2010,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,10943.3450,9548.6670,9548.6670,0000006951,A,4530,453010,45,45301010,333242,3559
001704,20111031,2011,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,13861.0000,10517.0000,10517.0000,0000006951,A,4530,453010,45,45301010,333242,3559
001704,20121031,2012,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,12102.0000,8719.0000,8719.0000,0000006951,A,4530,453010,45,45301010,333242,3559
001704,20131031,2013,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,12043.0000,7509.0000,7509.0000,0000006951,A,4530,453010,45,45301010,333242,3559
001704,20141031,2014,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,13174.0000,9072.0000,9072.0000,0000006951,A,4530,453010,45,45301010,333242,3559
001704,20151031,2015,INDL,C,D,STD,AMAT,038222105,APPLIED MATERIALS INC,USD,10,15308.0000,9659.0000,9659.0000,0000006951,A,4530,453010,45,45301010,333242,3559
